"dzien","Ilosc zwierzakow","Ilosc roslinek","Srednia energia","Sredni czas zycia","Ilosc wolnych pol","Najpopularniejszy gen"
"539","219","128","48","44.05861854640727","1114","077171325773147"
"540","219","128","48","44.08579532746435","1117","077171325773147"
"541","220","123","48","44.113906330835036","1125","077171325773147"
"542","220","122","48","44.14119290290633","1114","077171325773147"
"543","222","125","48","44.16941860817451","1112","077171325773147"
"544","225","125","47","44.19674939290477","1111","077171325773147"
"545","220","125","48","44.22342864036724","1109","077171325773147"
"546","216","128","49","44.25250782441265","1120","077171325773147"
"547","221","129","48","44.28209080717537","1121","077171325773147"
"548","225","127","47","44.309692883895615","1111","077171325773147"
"549","233","127","45","44.336402590932224","1109","077171325773147"
"550","238","125","45","44.361383136315766","1112","077171325773147"
"551","242","123","44","44.3852173654303","1111","077171325773147"
"552","240","122","44","44.40794355995813","1102","077171325773147"
"553","238","122","45","44.43193192699178","1102","077171325773147"
"554","234","125","45","44.45592420795588","1101","077171325773147"
"555","232","122","46","44.48218128224071","1104","077171325773147"
"556","232","118","46","44.51043555834451","1105","077171325773147"
"557","235","120","45","44.53897240779006","1104","077171325773147"
"558","233","123","45","44.56788063313668","1105","077171325773147"
"559","238","125","44","44.59789498281567","1104","077171325773147"
"560","238","132","44","44.62655787070813","1096","077171325773147"
"561","237","136","44","44.6564744192362","1091","077171325773147"
"562","236","131","44","44.685496035583526","1092","077171325773147"
"563","237","131","44","44.71468125337702","1091","077171325773147"
"564","241","126","43","44.744525617703296","1097","077171325773147"
"565","242","126","43","44.772859968886706","1096","077171325773147"
"566","242","125","43","44.80108454050786","1095","077171325773147"
"567","242","127","43","44.82953220287186","1087","077171325773147"
"568","239","125","43","44.85920274651963","1094","077171325773147"
"569","236","120","44","44.88967544886296","1101","077171325773147"
"570","246","119","42","44.92243793610906","1100","077171325773147"
"571","240","120","43","44.947727337305466","1103","077171325773147"
"572","241","119","43","44.97450411544068","1100","077171325773147"
"573","241","117","43","45.000037713790505","1101","077171325773147"
"574","246","118","42","45.02654675785301","1106","077171325773147"
"575","246","119","42","45.05054951243135","1107","077171325773147"
"576","248","119","42","45.074778781778626","1103","077171325773147"
"577","250","115","41","45.09850247097006","1107","077171325773147"
"578","248","115","42","45.121788001081605","1108","077171325773147"
"579","247","115","42","45.145088849834465","1102","077171325773147"
"580","247","109","42","45.16862730545189","1112","077171325773147"
"581","246","114","42","45.19253945480676","1108","077171325773147"
"582","242","111","43","45.21732344548026","1110","077171325773147"
"583","241","107","43","45.24340462390506","1111","077171325773147"
"584","238","106","44","45.26928947078122","1115","077171325773147"
